batch_id,status,class,true_class_cn,confidence,source_path,batch_image_path,batch_label_path,selected_at,annotated_at,notes
batch_002,selected,dent,碰伤,0.996883,D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Be injured by a collision\碰伤20180905091646对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_002\images\dent__碰伤20180905091646对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_002\labels\dent__碰伤20180905091646对照样本.txt,2026-06-22T15:15:30,,
batch_002,selected,dent,碰伤,0.421089,D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Be injured by a collision\碰伤20180910105717对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_002\images\dent__碰伤20180910105717对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_002\labels\dent__碰伤20180910105717对照样本.txt,2026-06-22T15:15:30,,
batch_002,selected,dent,碰伤,0.998763,D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Be injured by a collision\碰伤20180905093905对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_002\images\dent__碰伤20180905093905对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_002\labels\dent__碰伤20180905093905对照样本.txt,2026-06-22T15:15:30,,
batch_002,selected,dent,碰伤,0.994124,D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Be injured by a collision\碰伤20180905094943对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_002\images\dent__碰伤20180905094943对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_002\labels\dent__碰伤20180905094943对照样本.txt,2026-06-22T15:15:30,,
batch_002,selected,dent,碰伤,0.456750,D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Be injured by a collision\碰伤20180910105611对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_002\images\dent__碰伤20180910105611对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_002\labels\dent__碰伤20180910105611对照样本.txt,2026-06-22T15:15:30,,
batch_002,selected,dent,碰伤,0.997588,D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Be injured by a collision\碰伤20180905091422对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_002\images\dent__碰伤20180905091422对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_002\labels\dent__碰伤20180905091422对照样本.txt,2026-06-22T15:15:30,,
batch_002,selected,dent,碰伤,0.996493,D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Be injured by a collision\碰伤20180905094102对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_002\images\dent__碰伤20180905094102对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_002\labels\dent__碰伤20180905094102对照样本.txt,2026-06-22T15:15:30,,
batch_002,selected,dent,碰伤,0.992062,D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Be injured by a collision\碰伤20180905095124对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_002\images\dent__碰伤20180905095124对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_002\labels\dent__碰伤20180905095124对照样本.txt,2026-06-22T15:15:30,,
batch_002,selected,powder,凸粉,0.543551,D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Convex powder\凸粉20180901141019对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_002\images\powder__凸粉20180901141019对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_002\labels\powder__凸粉20180901141019对照样本.txt,2026-06-22T15:15:30,,
batch_002,selected,powder,凸粉,0.790559,D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Convex powder\凸粉20180901101501对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_002\images\powder__凸粉20180901101501对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_002\labels\powder__凸粉20180901101501对照样本.txt,2026-06-22T15:15:30,,
batch_002,selected,powder,凸粉,0.694915,D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Convex powder\凸粉20180901110602对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_002\images\powder__凸粉20180901110602对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_002\labels\powder__凸粉20180901110602对照样本.txt,2026-06-22T15:15:30,,
batch_002,selected,powder,凸粉,0.631432,D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Convex powder\凸粉20180901141824对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_002\images\powder__凸粉20180901141824对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_002\labels\powder__凸粉20180901141824对照样本.txt,2026-06-22T15:15:30,,
batch_002,selected,powder,凸粉,0.777596,D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Convex powder\凸粉20180901101641对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_002\images\powder__凸粉20180901101641对照样本.jpg,D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\batches\batch_002\labels\powder__凸粉20180901101641对照样本.txt,2026-06-22T15:15:30,,
