"class","true_class_cn","confidence","source_path","candidate_path","labelimg_image","pred_class_cn","correct"
"transverse_bump","横条压凹","0.999391","D:\code\VisualInspection\铝型材缺陷图\data\ali2018\The transverse strip is dented\横条压凹20180903102213对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\candidate_images\transverse_bump\横条压凹20180903102213对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\transverse_bump__横条压凹20180903102213对照样本.jpg","横条压凹","TRUE"
"transverse_bump","横条压凹","0.998883","D:\code\VisualInspection\铝型材缺陷图\data\ali2018\The transverse strip is dented\横条压凹20180903105306对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\candidate_images\transverse_bump\横条压凹20180903105306对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\transverse_bump__横条压凹20180903105306对照样本.jpg","横条压凹","TRUE"
"transverse_bump","横条压凹","0.998068","D:\code\VisualInspection\铝型材缺陷图\data\ali2018\The transverse strip is dented\横条压凹20180903104458对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\candidate_images\transverse_bump\横条压凹20180903104458对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\transverse_bump__横条压凹20180903104458对照样本.jpg","横条压凹","TRUE"
"transverse_bump","横条压凹","0.997544","D:\code\VisualInspection\铝型材缺陷图\data\ali2018\The transverse strip is dented\横条压凹20180903110022对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\candidate_images\transverse_bump\横条压凹20180903110022对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\transverse_bump__横条压凹20180903110022对照样本.jpg","横条压凹","TRUE"
"transverse_bump","横条压凹","0.997527","D:\code\VisualInspection\铝型材缺陷图\data\ali2018\The transverse strip is dented\横条压凹20180903104948对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\candidate_images\transverse_bump\横条压凹20180903104948对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\transverse_bump__横条压凹20180903104948对照样本.jpg","横条压凹","TRUE"
"transverse_bump","横条压凹","0.997154","D:\code\VisualInspection\铝型材缺陷图\data\ali2018\The transverse strip is dented\横条压凹20180903102226对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\candidate_images\transverse_bump\横条压凹20180903102226对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\transverse_bump__横条压凹20180903102226对照样本.jpg","横条压凹","TRUE"
"transverse_bump","横条压凹","0.992816","D:\code\VisualInspection\铝型材缺陷图\data\ali2018\The transverse strip is dented\横条压凹20180903102613对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\candidate_images\transverse_bump\横条压凹20180903102613对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\transverse_bump__横条压凹20180903102613对照样本.jpg","横条压凹","TRUE"
"transverse_bump","横条压凹","0.988427","D:\code\VisualInspection\铝型材缺陷图\data\ali2018\The transverse strip is dented\横条压凹20180903110518对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\candidate_images\transverse_bump\横条压凹20180903110518对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\transverse_bump__横条压凹20180903110518对照样本.jpg","横条压凹","TRUE"
"stain","脏点","0.955965","D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Dirty spot\脏点20180910094151对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\candidate_images\stain\脏点20180910094151对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\stain__脏点20180910094151对照样本.jpg","脏点","TRUE"
"stain","脏点","0.935192","D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Dirty spot\脏点20180910095826对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\candidate_images\stain\脏点20180910095826对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\stain__脏点20180910095826对照样本.jpg","脏点","TRUE"
"stain","脏点","0.934323","D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Dirty spot\脏点20180910093340对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\candidate_images\stain\脏点20180910093340对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\stain__脏点20180910093340对照样本.jpg","脏点","TRUE"
"stain","脏点","0.754734","D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Dirty spot\脏点20180831144031对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\candidate_images\stain\脏点20180831144031对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\stain__脏点20180831144031对照样本.jpg","脏点","TRUE"
"stain","脏点","0.661116","D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Dirty spot\脏点20180907105943对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\candidate_images\stain\脏点20180907105943对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\stain__脏点20180907105943对照样本.jpg","脏点","TRUE"
"stain","脏点","0.624379","D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Dirty spot\脏点20180831163548对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\candidate_images\stain\脏点20180831163548对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\stain__脏点20180831163548对照样本.jpg","脏点","TRUE"
"stain","脏点","0.584721","D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Dirty spot\脏点20180831143909对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\candidate_images\stain\脏点20180831143909对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\stain__脏点20180831143909对照样本.jpg","脏点","TRUE"
"stain","脏点","0.5689","D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Dirty spot\脏点20180912095109对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\candidate_images\stain\脏点20180912095109对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\stain__脏点20180912095109对照样本.jpg","脏点","TRUE"
"powder","凸粉","0.935891","D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Convex powder\凸粉20180901140351对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\candidate_images\powder\凸粉20180901140351对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\powder__凸粉20180901140351对照样本.jpg","凸粉","TRUE"
"powder","凸粉","0.799671","D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Convex powder\凸粉20180901140150对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\candidate_images\powder\凸粉20180901140150对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\powder__凸粉20180901140150对照样本.jpg","凸粉","TRUE"
